,Rich,Poor,MiddleClass,Savings,Wallets,Money,Loans,ModelParams,Run
0,0,0,25,0.0,71.0,71.0,0.0,"(25, 5, 0)",1
1,1,0,20,71.0,0.0,71.0,0.0,"(25, 5, 0)",1
2,2,0,19,71.0,0.0,71.0,0.0,"(25, 5, 0)",1
3,2,0,19,75.0,0.0,75.0,4.0,"(25, 5, 0)",1
4,2,0,19,70.0,10.0,80.0,9.0,"(25, 5, 0)",1
5,4,0,17,76.0,4.0,80.0,9.0,"(25, 5, 0)",1
6,4,0,17,76.0,5.0,81.0,10.0,"(25, 5, 0)",1
7,6,0,15,80.0,2.0,82.0,11.0,"(25, 5, 0)",1
8,7,0,14,86.0,0.0,86.0,15.0,"(25, 5, 0)",1
9,7,0,14,86.0,0.0,86.0,15.0,"(25, 5, 0)",1
10,7,0,14,86.0,0.0,86.0,15.0,"(25, 5, 0)",1
11,8,0,14,86.0,0.0,86.0,15.0,"(25, 5, 0)",1
12,7,0,15,85.0,0.0,85.0,14.0,"(25, 5, 0)",1
13,6,0,15,83.0,2.0,85.0,14.0,"(25, 5, 0)",1
14,7,0,15,91.0,0.0,91.0,20.0,"(25, 5, 0)",1
15,7,0,15,91.0,0.0,91.0,20.0,"(25, 5, 0)",1
16,7,0,15,91.0,2.0,93.0,22.0,"(25, 5, 0)",1
17,7,0,15,93.0,0.0,93.0,22.0,"(25, 5, 0)",1
18,7,0,15,93.0,0.0,93.0,22.0,"(25, 5, 0)",1
19,7,0,15,93.0,0.0,93.0,22.0,"(25, 5, 0)",1
20,7,1,14,93.0,5.0,98.0,27.0,"(25, 5, 0)",1
21,8,1,14,98.0,0.0,98.0,27.0,"(25, 5, 0)",1
22,7,1,15,96.0,2.0,98.0,27.0,"(25, 5, 0)",1
23,7,1,15,97.0,2.0,99.0,28.0,"(25, 5, 0)",1
24,8,1,14,99.0,0.0,99.0,28.0,"(25, 5, 0)",1
25,7,1,15,97.0,2.0,99.0,28.0,"(25, 5, 0)",1
26,7,1,15,99.0,0.0,99.0,28.0,"(25, 5, 0)",1
27,7,1,15,99.0,0.0,99.0,28.0,"(25, 5, 0)",1
28,8,1,16,99.0,0.0,99.0,28.0,"(25, 5, 0)",1
29,8,1,16,103.0,0.0,103.0,32.0,"(25, 5, 0)",1
30,8,1,16,103.0,0.0,103.0,32.0,"(25, 5, 0)",1
31,8,1,16,105.0,0.0,105.0,34.0,"(25, 5, 0)",1
32,8,1,16,103.0,2.0,105.0,34.0,"(25, 5, 0)",1
33,8,1,16,100.0,5.0,105.0,34.0,"(25, 5, 0)",1
34,7,1,17,96.0,7.0,103.0,32.0,"(25, 5, 0)",1
35,7,1,17,100.0,0.0,100.0,29.0,"(25, 5, 0)",1
36,7,1,17,96.0,5.0,101.0,30.0,"(25, 5, 0)",1
37,8,1,16,101.0,0.0,101.0,30.0,"(25, 5, 0)",1
38,8,1,16,101.0,0.0,101.0,30.0,"(25, 5, 0)",1
39,8,1,16,101.0,0.0,101.0,30.0,"(25, 5, 0)",1
40,8,1,16,96.0,5.0,101.0,30.0,"(25, 5, 0)",1
41,9,1,15,101.0,0.0,101.0,30.0,"(25, 5, 0)",1
42,9,1,15,101.0,0.0,101.0,30.0,"(25, 5, 0)",1
43,9,1,15,101.0,0.0,101.0,30.0,"(25, 5, 0)",1
44,9,1,15,101.0,5.0,106.0,35.0,"(25, 5, 0)",1
45,9,1,15,106.0,0.0,106.0,35.0,"(25, 5, 0)",1
46,9,2,14,111.0,0.0,111.0,40.0,"(25, 5, 0)",1
47,9,2,14,111.0,0.0,111.0,40.0,"(25, 5, 0)",1
48,9,2,14,110.0,5.0,115.0,44.0,"(25, 5, 0)",1
49,9,2,14,115.0,0.0,115.0,44.0,"(25, 5, 0)",1
50,9,2,14,115.0,0.0,115.0,44.0,"(25, 5, 0)",1
51,9,2,14,115.0,0.0,115.0,44.0,"(25, 5, 0)",1
52,9,2,14,113.0,2.0,115.0,44.0,"(25, 5, 0)",1
53,9,2,14,115.0,0.0,115.0,44.0,"(25, 5, 0)",1
54,9,2,14,115.0,0.0,115.0,44.0,"(25, 5, 0)",1
55,9,2,14,115.0,0.0,115.0,44.0,"(25, 5, 0)",1
56,9,2,14,113.0,5.0,118.0,47.0,"(25, 5, 0)",1
57,9,2,14,117.0,0.0,117.0,46.0,"(25, 5, 0)",1
58,9,2,14,121.0,0.0,121.0,50.0,"(25, 5, 0)",1
59,9,2,14,121.0,0.0,121.0,50.0,"(25, 5, 0)",1
60,8,2,14,116.0,5.0,121.0,50.0,"(25, 5, 0)",1
61,8,2,14,115.0,2.0,117.0,46.0,"(25, 5, 0)",1
62,8,2,14,117.0,0.0,117.0,46.0,"(25, 5, 0)",1
63,8,2,14,117.0,0.0,117.0,46.0,"(25, 5, 0)",1
64,8,2,14,117.0,0.0,117.0,46.0,"(25, 5, 0)",1
65,8,2,14,117.0,0.0,117.0,46.0,"(25, 5, 0)",1
66,8,2,14,117.0,0.0,117.0,46.0,"(25, 5, 0)",1
67,8,2,14,115.0,2.0,117.0,46.0,"(25, 5, 0)",1
68,8,2,14,115.0,0.0,115.0,44.0,"(25, 5, 0)",1
69,8,2,14,115.0,0.0,115.0,44.0,"(25, 5, 0)",1
70,8,2,14,115.0,2.0,117.0,46.0,"(25, 5, 0)",1
71,8,2,14,117.0,0.0,117.0,46.0,"(25, 5, 0)",1
72,8,1,14,115.0,0.0,115.0,44.0,"(25, 5, 0)",1
73,8,1,14,115.0,0.0,115.0,44.0,"(25, 5, 0)",1
74,9,1,13,120.0,0.0,120.0,49.0,"(25, 5, 0)",1
75,9,1,13,120.0,0.0,120.0,49.0,"(25, 5, 0)",1
76,9,1,13,120.0,0.0,120.0,49.0,"(25, 5, 0)",1
77,9,1,13,120.0,0.0,120.0,49.0,"(25, 5, 0)",1
78,9,1,13,120.0,0.0,120.0,49.0,"(25, 5, 0)",1
79,9,1,13,120.0,0.0,120.0,49.0,"(25, 5, 0)",1
80,9,1,13,120.0,0.0,120.0,49.0,"(25, 5, 0)",1
81,8,1,14,115.0,0.0,115.0,44.0,"(25, 5, 0)",1
82,9,1,13,120.0,0.0,120.0,49.0,"(25, 5, 0)",1
83,10,1,12,120.0,0.0,120.0,49.0,"(25, 5, 0)",1
84,10,1,12,120.0,2.0,122.0,51.0,"(25, 5, 0)",1
