model_num,tick,params,company_sales,company_tax,average_involvement_energy,max_involvement_energy,num_players,num_banned
1,0,"{'tax_rate': 0, 'social_tolerance': 100, 'personal_refrainment_max': 5, 'worldsize': 400, 'initial_players': 100, 'item_effect': 6, 'marketing': 0.5}",100,0.0,7.72,10.0,100,0
1,1,"{'tax_rate': 0, 'social_tolerance': 100, 'personal_refrainment_max': 5, 'worldsize': 400, 'initial_players': 100, 'item_effect': 6, 'marketing': 0.5}",101,0.0,6.833191883482659,10.0,109,0
1,2,"{'tax_rate': 0, 'social_tolerance': 100, 'personal_refrainment_max': 5, 'worldsize': 400, 'initial_players': 100, 'item_effect': 6, 'marketing': 0.5}",104,0.0,6.1541798445849585,13.0,120,0
1,3,"{'tax_rate': 0, 'social_tolerance': 100, 'personal_refrainment_max': 5, 'worldsize': 400, 'initial_players': 100, 'item_effect': 6, 'marketing': 0.5}",105,0.0,5.369233673822183,13.0,129,0
1,4,"{'tax_rate': 0, 'social_tolerance': 100, 'personal_refrainment_max': 5, 'worldsize': 400, 'initial_players': 100, 'item_effect': 6, 'marketing': 0.5}",106,0.0,4.663701969195907,12.0,135,0
1,5,"{'tax_rate': 0, 'social_tolerance': 100, 'personal_refrainment_max': 5, 'worldsize': 400, 'initial_players': 100, 'item_effect': 6, 'marketing': 0.5}",109,0.0,4.266009243759866,17.0,150,0
1,6,"{'tax_rate': 0, 'social_tolerance': 100, 'personal_refrainment_max': 5, 'worldsize': 400, 'initial_players': 100, 'item_effect': 6, 'marketing': 0.5}",111,0.0,3.6529673509883223,16.0,161,0
1,7,"{'tax_rate': 0, 'social_tolerance': 100, 'personal_refrainment_max': 5, 'worldsize': 400, 'initial_players': 100, 'item_effect': 6, 'marketing': 0.5}",115,0.0,3.355661587174806,18.0,169,0
1,8,"{'tax_rate': 0, 'social_tolerance': 100, 'personal_refrainment_max': 5, 'worldsize': 400, 'initial_players': 100, 'item_effect': 6, 'marketing': 0.5}",116,0.0,3.2355097007551845,17.0,174,0
1,9,"{'tax_rate': 0, 'social_tolerance': 100, 'personal_refrainment_max': 5, 'worldsize': 400, 'initial_players': 100, 'item_effect': 6, 'marketing': 0.5}",121,0.0,3.3170851932131478,22.0,172,0
1,10,"{'tax_rate': 0, 'social_tolerance': 100, 'personal_refrainment_max': 5, 'worldsize': 400, 'initial_players': 100, 'item_effect': 6, 'marketing': 0.5}",123,0.0,3.529510667030344,21.0,166,0
2,0,"{'tax_rate': 0, 'social_tolerance': 50, 'personal_refrainment_max': 5, 'worldsize': 400, 'initial_players': 100, 'item_effect': 6, 'marketing': 0.5}",100,0.0,7.28,10.0,100,0
2,1,"{'tax_rate': 0, 'social_tolerance': 50, 'personal_refrainment_max': 5, 'worldsize': 400, 'initial_players': 100, 'item_effect': 6, 'marketing': 0.5}",100,0.0,6.38686020750572,10.0,108,0
