,Wolves,Sheep,ModelParams,Run
0,50,100,"{'sheep_reproduce': 0.04, 'wolf_reproduce': 0.04}",5
1,52,86,"{'sheep_reproduce': 0.04, 'wolf_reproduce': 0.04}",5
2,53,73,"{'sheep_reproduce': 0.04, 'wolf_reproduce': 0.04}",5
3,56,65,"{'sheep_reproduce': 0.04, 'wolf_reproduce': 0.04}",5
4,60,57,"{'sheep_reproduce': 0.04, 'wolf_reproduce': 0.04}",5
5,61,48,"{'sheep_reproduce': 0.04, 'wolf_reproduce': 0.04}",5
6,64,38,"{'sheep_reproduce': 0.04, 'wolf_reproduce': 0.04}",5
7,67,34,"{'sheep_reproduce': 0.04, 'wolf_reproduce': 0.04}",5
8,70,23,"{'sheep_reproduce': 0.04, 'wolf_reproduce': 0.04}",5
9,71,21,"{'sheep_reproduce': 0.04, 'wolf_reproduce': 0.04}",5
10,75,19,"{'sheep_reproduce': 0.04, 'wolf_reproduce': 0.04}",5
11,78,15,"{'sheep_reproduce': 0.04, 'wolf_reproduce': 0.04}",5
12,79,11,"{'sheep_reproduce': 0.04, 'wolf_reproduce': 0.04}",5
13,79,10,"{'sheep_reproduce': 0.04, 'wolf_reproduce': 0.04}",5
14,77,8,"{'sheep_reproduce': 0.04, 'wolf_reproduce': 0.04}",5
15,80,7,"{'sheep_reproduce': 0.04, 'wolf_reproduce': 0.04}",5
16,85,7,"{'sheep_reproduce': 0.04, 'wolf_reproduce': 0.04}",5
17,81,7,"{'sheep_reproduce': 0.04, 'wolf_reproduce': 0.04}",5
18,83,5,"{'sheep_reproduce': 0.04, 'wolf_reproduce': 0.04}",5
19,77,4,"{'sheep_reproduce': 0.04, 'wolf_reproduce': 0.04}",5
20,77,3,"{'sheep_reproduce': 0.04, 'wolf_reproduce': 0.04}",5
21,77,4,"{'sheep_reproduce': 0.04, 'wolf_reproduce': 0.04}",5
22,71,4,"{'sheep_reproduce': 0.04, 'wolf_reproduce': 0.04}",5
23,69,4,"{'sheep_reproduce': 0.04, 'wolf_reproduce': 0.04}",5
24,68,3,"{'sheep_reproduce': 0.04, 'wolf_reproduce': 0.04}",5
25,66,2,"{'sheep_reproduce': 0.04, 'wolf_reproduce': 0.04}",5
26,64,2,"{'sheep_reproduce': 0.04, 'wolf_reproduce': 0.04}",5
27,60,2,"{'sheep_reproduce': 0.04, 'wolf_reproduce': 0.04}",5
28,55,2,"{'sheep_reproduce': 0.04, 'wolf_reproduce': 0.04}",5
29,54,2,"{'sheep_reproduce': 0.04, 'wolf_reproduce': 0.04}",5
30,55,2,"{'sheep_reproduce': 0.04, 'wolf_reproduce': 0.04}",5
31,54,2,"{'sheep_reproduce': 0.04, 'wolf_reproduce': 0.04}",5
32,47,2,"{'sheep_reproduce': 0.04, 'wolf_reproduce': 0.04}",5
33,42,2,"{'sheep_reproduce': 0.04, 'wolf_reproduce': 0.04}",5
34,41,2,"{'sheep_reproduce': 0.04, 'wolf_reproduce': 0.04}",5
35,42,2,"{'sheep_reproduce': 0.04, 'wolf_reproduce': 0.04}",5
36,42,1,"{'sheep_reproduce': 0.04, 'wolf_reproduce': 0.04}",5
37,38,1,"{'sheep_reproduce': 0.04, 'wolf_reproduce': 0.04}",5
38,34,1,"{'sheep_reproduce': 0.04, 'wolf_reproduce': 0.04}",5
39,31,1,"{'sheep_reproduce': 0.04, 'wolf_reproduce': 0.04}",5
40,25,1,"{'sheep_reproduce': 0.04, 'wolf_reproduce': 0.04}",5
41,24,1,"{'sheep_reproduce': 0.04, 'wolf_reproduce': 0.04}",5
42,22,1,"{'sheep_reproduce': 0.04, 'wolf_reproduce': 0.04}",5
43,20,1,"{'sheep_reproduce': 0.04, 'wolf_reproduce': 0.04}",5
44,18,1,"{'sheep_reproduce': 0.04, 'wolf_reproduce': 0.04}",5
45,11,1,"{'sheep_reproduce': 0.04, 'wolf_reproduce': 0.04}",5
46,12,1,"{'sheep_reproduce': 0.04, 'wolf_reproduce': 0.04}",5
47,11,1,"{'sheep_reproduce': 0.04, 'wolf_reproduce': 0.04}",5
48,9,1,"{'sheep_reproduce': 0.04, 'wolf_reproduce': 0.04}",5
49,6,1,"{'sheep_reproduce': 0.04, 'wolf_reproduce': 0.04}",5
50,6,1,"{'sheep_reproduce': 0.04, 'wolf_reproduce': 0.04}",5
51,4,1,"{'sheep_reproduce': 0.04, 'wolf_reproduce': 0.04}",5
52,4,1,"{'sheep_reproduce': 0.04, 'wolf_reproduce': 0.04}",5
53,4,1,"{'sheep_reproduce': 0.04, 'wolf_reproduce': 0.04}",5
54,4,1,"{'sheep_reproduce': 0.04, 'wolf_reproduce': 0.04}",5
55,4,1,"{'sheep_reproduce': 0.04, 'wolf_reproduce': 0.04}",5
56,5,1,"{'sheep_reproduce': 0.04, 'wolf_reproduce': 0.04}",5
57,5,1,"{'sheep_reproduce': 0.04, 'wolf_reproduce': 0.04}",5
58,3,1,"{'sheep_reproduce': 0.04, 'wolf_reproduce': 0.04}",5
59,3,1,"{'sheep_reproduce': 0.04, 'wolf_reproduce': 0.04}",5
60,3,1,"{'sheep_reproduce': 0.04, 'wolf_reproduce': 0.04}",5
61,3,2,"{'sheep_reproduce': 0.04, 'wolf_reproduce': 0.04}",5
62,1,2,"{'sheep_reproduce': 0.04, 'wolf_reproduce': 0.04}",5
63,1,2,"{'sheep_reproduce': 0.04, 'wolf_reproduce': 0.04}",5
64,1,2,"{'sheep_reproduce': 0.04, 'wolf_reproduce': 0.04}",5
65,1,1,"{'sheep_reproduce': 0.04, 'wolf_reproduce': 0.04}",5
66,1,1,"{'sheep_reproduce': 0.04, 'wolf_reproduce': 0.04}",5
67,1,1,"{'sheep_reproduce': 0.04, 'wolf_reproduce': 0.04}",5
68,1,1,"{'sheep_reproduce': 0.04, 'wolf_reproduce': 0.04}",5
69,1,1,"{'sheep_reproduce': 0.04, 'wolf_reproduce': 0.04}",5
70,1,1,"{'sheep_reproduce': 0.04, 'wolf_reproduce': 0.04}",5
71,1,1,"{'sheep_reproduce': 0.04, 'wolf_reproduce': 0.04}",5
72,1,1,"{'sheep_reproduce': 0.04, 'wolf_reproduce': 0.04}",5
73,1,1,"{'sheep_reproduce': 0.04, 'wolf_reproduce': 0.04}",5
74,1,1,"{'sheep_reproduce': 0.04, 'wolf_reproduce': 0.04}",5
75,1,1,"{'sheep_reproduce': 0.04, 'wolf_reproduce': 0.04}",5
76,1,1,"{'sheep_reproduce': 0.04, 'wolf_reproduce': 0.04}",5
77,2,1,"{'sheep_reproduce': 0.04, 'wolf_reproduce': 0.04}",5
78,2,1,"{'sheep_reproduce': 0.04, 'wolf_reproduce': 0.04}",5
