"Title","Points","Change","Countries","PiCountry","Days","PiDay","Total","MovieLink","Date","Category","Stremaer"
"Santana","561","-3%","72","8","1","561","1531","https://flixpatrol.com/title/santana","2020-08-31","movie","netflix"
"Project Power","523","0%","77","7","1","523","11030","https://flixpatrol.com/title/project-power","2020-08-31","movie","netflix"
"The Sleepover","434","-8%","72","6","1","434","5775","https://flixpatrol.com/title/the-sleepover","2020-08-31","movie","netflix"
"All Together Now","383","+26%","63","6","1","383","794","https://flixpatrol.com/title/all-together-now-2020","2020-08-31","movie","netflix"
"365 Days","223","-11%","51","4","1","223","33420","https://flixpatrol.com/title/365-days","2020-08-31","movie","netflix"
"Unknown Origins","142","+4%","29","5","1","142","336","https://flixpatrol.com/title/unknown-origins","2020-08-31","movie","netflix"
"Escape Plan","140","-3%","18","8","1","140","1191","https://flixpatrol.com/title/escape-plan","2020-08-31","movie","netflix"
"Tammy","78","-2%","17","5","1","78","1395","https://flixpatrol.com/title/tammy","2020-08-31","movie","netflix"
"From Prada to Nada","78","-7%","16","5","1","78","817","https://flixpatrol.com/title/from-prada-to-nada","2020-08-31","movie","netflix"
"Mamma Mia: Here We Go Again!","54","-13%","7","8","1","54","526","https://flixpatrol.com/title/mamma-mia-here-we-go-again","2020-08-31","movie","netflix"
"Wonder Park","46","0%","5","9","1","46","177","https://flixpatrol.com/title/wonder-park","2020-08-31","movie","netflix"
"Future World","46","+10%","8","6","1","46","152","https://flixpatrol.com/title/future-world","2020-08-31","movie","netflix"
"Slither","46","-10%","10","5","1","46","144","https://flixpatrol.com/title/slither","2020-08-31","movie","netflix"
"Scarecrow","45","-2%","6","8","1","45","482","https://flixpatrol.com/title/scarecrow-2019","2020-08-31","movie","netflix"
"American Psycho","44","+7%","11","4","1","44","210","https://flixpatrol.com/title/american-psycho","2020-08-31","movie","netflix"
"Class of '83","43","-19%","6","7","1","43","607","https://flixpatrol.com/title/class-of-83","2020-08-31","movie","netflix"
"Aquaman","41","+5%","7","6","1","41","1311","https://flixpatrol.com/title/aquaman","2020-08-31","movie","netflix"
"Joker","41","-2%","5","8","1","41","559","https://flixpatrol.com/title/joker-2019","2020-08-31","movie","netflix"
"Venom","41","0%","5","8","1","41","2074","https://flixpatrol.com/title/venom-2018","2020-08-31","movie","netflix"
"Wonder","36","-18%","12","3","1","36","3558","https://flixpatrol.com/title/wonder","2020-08-31","movie","netflix"
"Johnny English Strikes Again","30","0%","3","10","1","30","1138","https://flixpatrol.com/title/johnny-english-3","2020-08-31","movie","netflix"
"Bloodshot","30","-6%","7","4","1","30","1116","https://flixpatrol.com/title/bloodshot","2020-08-31","movie","netflix"
"Work It","29","-17%","11","3","1","29","8118","https://flixpatrol.com/title/work-it-2020","2020-08-31","movie","netflix"
"Zengo","29","+38%","5","6","1","29","70","https://flixpatrol.com/title/zengo","2020-08-31","movie","netflix"
"The Old Guard","28","-7%","8","4","1","28","13471","https://flixpatrol.com/title/the-old-guard","2020-08-31","movie","netflix"
"Status Update","28","-","10","3","1","28","28","https://flixpatrol.com/title/status-update","2020-08-31","movie","netflix"
"Gunjan Saxena: The Kargil Girl","27","-10%","6","4","1","27","788","https://flixpatrol.com/title/gunjan-saxena-the-kargil-girl","2020-08-31","movie","netflix"
"The Bridge Curse","27","-21%","6","4","1","27","410","https://flixpatrol.com/title/the-bridge-curse","2020-08-31","movie","netflix"
"A-X-L","25","-4%","4","6","1","25","478","https://flixpatrol.com/title/a-x-l","2020-08-31","movie","netflix"
"Time Trap","23","-4%","10","2","1","23","2656","https://flixpatrol.com/title/time-trap","2020-08-31","movie","netflix"
"Jak se zbavit nev<U+011B>sty","22","+10%","3","7","1","22","77","https://flixpatrol.com/title/jak-se-zbavit-nevesty","2020-08-31","movie","netflix"
"The Invention of Lying","21","-16%","8","3","1","21","858","https://flixpatrol.com/title/the-invention-of-lying","2020-08-31","movie","netflix"
"First Man","21","+5%","3","7","1","21","296","https://flixpatrol.com/title/first-man","2020-08-31","movie","netflix"
"The Frozen Ground","20","+100%","2","10","1","20","31","https://flixpatrol.com/title/the-frozen-ground","2020-08-31","movie","netflix"
"Raat Akeli Hai","20","+18%","3","7","1","20","635","https://flixpatrol.com/title/raat-akeli-hai","2020-08-31","movie","netflix"
"This Crazy Heart","19","0%","3","6","1","19","160","https://flixpatrol.com/title/this-crazy-heart","2020-08-31","movie","netflix"
"What Men Want","18","-5%","3","6","1","18","862","https://flixpatrol.com/title/what-men-want","2020-08-31","movie","netflix"
"Jumanji: The Next Level","18","0%","2","9","1","18","1346","https://flixpatrol.com/title/jumanji-the-next-level","2020-08-31","movie","netflix"
"A Star is Born","18","-10%","2","9","1","18","931","https://flixpatrol.com/title/a-star-is-born-2018","2020-08-31","movie","netflix"
"I See You","18","0%","2","9","1","18","148","https://flixpatrol.com/title/i-see-you","2020-08-31","movie","netflix"
"Em Prova: Amiga do Inimigo","18","-","2","9","1","18","18","https://flixpatrol.com/title/em-prova-amiga-do-inimigo","2020-08-31","movie","netflix"
"The Crimes That Bind","17","-6%","2","8","1","17","1109","https://flixpatrol.com/title/the-crimes-that-bind","2020-08-31","movie","netflix"
"Psychopath with Piers Morgan","16","0%","2","8","1","16","109","https://flixpatrol.com/title/psychopath-with-piers-morgan","2020-08-31","movie","netflix"
"Holmes and Watson","16","+167%","3","5","1","16","51","https://flixpatrol.com/title/holmes-and-watson","2020-08-31","movie","netflix"
"Drunk Parents","16","+100%","2","8","1","16","113","https://flixpatrol.com/title/drunk-parents","2020-08-31","movie","netflix"
"Spider-Man: Homecoming","16","-16%","3","5","1","16","1899","https://flixpatrol.com/title/spider-man-homecoming","2020-08-31","movie","netflix"
"Bee Movie","13","0%","2","6","1","13","267","https://flixpatrol.com/title/bee-movie","2020-08-31","movie","netflix"
"Kung Fu Panda","12","+9%","4","3","1","12","85","https://flixpatrol.com/title/kung-fu-panda","2020-08-31","movie","netflix"
"1BR","12","+71%","2","6","1","12","101","https://flixpatrol.com/title/1br","2020-08-31","movie","netflix"
"An Easy Girl","12","-43%","5","2","1","12","3405","https://flixpatrol.com/title/an-easy-girl","2020-08-31","movie","netflix"
"Prisoners","11","-","2","6","1","11","11","https://flixpatrol.com/title/prisoners","2020-08-31","movie","netflix"
"Inception","11","-21%","3","4","1","11","177","https://flixpatrol.com/title/inception","2020-08-31","movie","netflix"
"The House with a Clock in Its Walls","11","-21%","2","6","1","11","373","https://flixpatrol.com/title/the-house-with-a-clock-in-its-walls","2020-08-31","movie","netflix"
"Darkest Hour","10","-58%","4","2","1","10","237","https://flixpatrol.com/title/darkest-hour","2020-08-31","movie","netflix"
"Saving Private Ryan","10","-23%","3","3","1","10","364","https://flixpatrol.com/title/saving-private-ryan","2020-08-31","movie","netflix"
"Pandemic","10","+11%","1","10","1","10","25","https://flixpatrol.com/title/pandemic","2020-08-31","movie","netflix"
"Deepwater Horizon","10","0%","1","10","1","10","220","https://flixpatrol.com/title/deepwater-horizon","2020-08-31","movie","netflix"
"The Equalizer 2","10","0%","1","10","1","10","2249","https://flixpatrol.com/title/the-equalizer-2","2020-08-31","movie","netflix"
"The Pocket Hercules Naim","10","+11%","2","5","1","10","348","https://flixpatrol.com/title/the-pocket-hercules-naim","2020-08-31","movie","netflix"
"Politics","10","0%","1","10","1","10","78","https://flixpatrol.com/title/politics","2020-08-31","movie","netflix"
"I Love You Two","10","0%","1","10","1","10","40","https://flixpatrol.com/title/i-love-you-two","2020-08-31","movie","netflix"
"Us, at the End of the Year","9","-10%","1","9","1","9","39","https://flixpatrol.com/title/us-at-the-end-of-the-year","2020-08-31","movie","netflix"
"Pee Nak 2","9","0%","1","9","1","9","106","https://flixpatrol.com/title/pee-nak-2","2020-08-31","movie","netflix"
"The Lies She Loved","9","-10%","1","9","1","9","108","https://flixpatrol.com/title/the-lies-she-loved","2020-08-31","movie","netflix"
