"Rank","Title","Link","Date","Locale","Category","Stremaer"
1,"The Frozen Ground","https://flixpatrol.com/title/the-frozen-ground","2020-08-31","united-states","movie","netflix"
2,"Project Power","https://flixpatrol.com/title/project-power","2020-08-31","united-states","movie","netflix"
3,"Drunk Parents","https://flixpatrol.com/title/drunk-parents","2020-08-31","united-states","movie","netflix"
4,"The Sleepover","https://flixpatrol.com/title/the-sleepover","2020-08-31","united-states","movie","netflix"
5,"1BR","https://flixpatrol.com/title/1br","2020-08-31","united-states","movie","netflix"
6,"Santana","https://flixpatrol.com/title/santana","2020-08-31","united-states","movie","netflix"
7,"All Together Now","https://flixpatrol.com/title/all-together-now-2020","2020-08-31","united-states","movie","netflix"
8,"Mr. Peabody & Sherman","https://flixpatrol.com/title/mr-peabody-sherman","2020-08-31","united-states","movie","netflix"
9,"The Secret Life of Pets 2","https://flixpatrol.com/title/the-secret-life-of-pets-2","2020-08-31","united-states","movie","netflix"
10,"Despicable Me","https://flixpatrol.com/title/despicable-me","2020-08-31","united-states","movie","netflix"
1,"The Frozen Ground","https://flixpatrol.com/title/the-frozen-ground","2020-08-30","united-states","movie","netflix"
2,"Project Power","https://flixpatrol.com/title/project-power","2020-08-30","united-states","movie","netflix"
3,"Drunk Parents","https://flixpatrol.com/title/drunk-parents","2020-08-30","united-states","movie","netflix"
4,"1BR","https://flixpatrol.com/title/1br","2020-08-30","united-states","movie","netflix"
5,"The Sleepover","https://flixpatrol.com/title/the-sleepover","2020-08-30","united-states","movie","netflix"
6,"Santana","https://flixpatrol.com/title/santana","2020-08-30","united-states","movie","netflix"
7,"Mr. Peabody & Sherman","https://flixpatrol.com/title/mr-peabody-sherman","2020-08-30","united-states","movie","netflix"
8,"All Together Now","https://flixpatrol.com/title/all-together-now-2020","2020-08-30","united-states","movie","netflix"
9,"The Secret Life of Pets 2","https://flixpatrol.com/title/the-secret-life-of-pets-2","2020-08-30","united-states","movie","netflix"
10,"The Lost Husband","https://flixpatrol.com/title/the-lost-husband","2020-08-30","united-states","movie","netflix"
1,"Project Power","https://flixpatrol.com/title/project-power","2020-08-29","united-states","movie","netflix"
2,"1BR","https://flixpatrol.com/title/1br","2020-08-29","united-states","movie","netflix"
3,"Drunk Parents","https://flixpatrol.com/title/drunk-parents","2020-08-29","united-states","movie","netflix"
4,"The Sleepover","https://flixpatrol.com/title/the-sleepover","2020-08-29","united-states","movie","netflix"
5,"Mr. Peabody & Sherman","https://flixpatrol.com/title/mr-peabody-sherman","2020-08-29","united-states","movie","netflix"
6,"The Secret Life of Pets 2","https://flixpatrol.com/title/the-secret-life-of-pets-2","2020-08-29","united-states","movie","netflix"
7,"Santana","https://flixpatrol.com/title/santana","2020-08-29","united-states","movie","netflix"
8,"Despicable Me","https://flixpatrol.com/title/despicable-me","2020-08-29","united-states","movie","netflix"
9,"The Lost Husband","https://flixpatrol.com/title/the-lost-husband","2020-08-29","united-states","movie","netflix"
10,"The Frozen Ground","https://flixpatrol.com/title/the-frozen-ground","2020-08-29","united-states","movie","netflix"
1,"1BR","https://flixpatrol.com/title/1br","2020-08-28","united-states","movie","netflix"
2,"Project Power","https://flixpatrol.com/title/project-power","2020-08-28","united-states","movie","netflix"
3,"Drunk Parents","https://flixpatrol.com/title/drunk-parents","2020-08-28","united-states","movie","netflix"
4,"The Sleepover","https://flixpatrol.com/title/the-sleepover","2020-08-28","united-states","movie","netflix"
5,"Mr. Peabody & Sherman","https://flixpatrol.com/title/mr-peabody-sherman","2020-08-28","united-states","movie","netflix"
6,"The Secret Life of Pets 2","https://flixpatrol.com/title/the-secret-life-of-pets-2","2020-08-28","united-states","movie","netflix"
7,"Despicable Me","https://flixpatrol.com/title/despicable-me","2020-08-28","united-states","movie","netflix"
8,"The Lost Husband","https://flixpatrol.com/title/the-lost-husband","2020-08-28","united-states","movie","netflix"
9,"Kill the Irishman","https://flixpatrol.com/title/kill-the-irishman","2020-08-28","united-states","movie","netflix"
10,"The Grinch","https://flixpatrol.com/title/dr-seuss-how-the-grinch-stole-christmas","2020-08-28","united-states","movie","netflix"
1,"Cobra Kai","https://flixpatrol.com/title/cobra-kai","2020-08-31","united-states","tvshow","netflix"
2,"Lucifer","https://flixpatrol.com/title/lucifer","2020-08-31","united-states","tvshow","netflix"
3,"I AM A KILLER: RELEASED","https://flixpatrol.com/title/i-am-a-killer-released","2020-08-31","united-states","tvshow","netflix"
4,"Million Dollar Beach House","https://flixpatrol.com/title/million-dollar-beach-house","2020-08-31","united-states","tvshow","netflix"
5,"The Umbrella Academy","https://flixpatrol.com/title/the-umbrella-academy","2020-08-31","united-states","tvshow","netflix"
6,"BUNK'D","https://flixpatrol.com/title/bunkd","2020-08-31","united-states","tvshow","netflix"
7,"Cocomelon","https://flixpatrol.com/title/cocomelon","2020-08-31","united-states","tvshow","netflix"
8,"Hoops","https://flixpatrol.com/title/hoops","2020-08-31","united-states","tvshow","netflix"
